"criterion_id","criterion_title","required_recommended","relevant_data","score","limitations"
"RV1","Sample Medium/Matrix","Required","1 compartment: Biota (Biota, Aquatic)","1",""
"RV2","Collection Method/Sample Type","Recommended","2 protocols:
Sampling Protocol - Plankton net sampling: (Zooplankton samples taken with vertically towed 'Helgoländer Planktonnetz' (mesh size 500 µm, diameter 1 m), hauled at 0.7 m sec-1 from depths of 200-460 m. Animals kept alive in sea water for 1-3 h to allow defecation.)
Sampling Protocol - Trawl sampling: (Decapod samples from GOV (Chalut à Grande Ouverture Verticale) trawl from depths of 170-330 m, trawling time 30 min at 4 knots.)","1",""
"RV3","Study Area","Required","6 sites. Countries: Not relevant. Areas (2): Barents Sea, Arctic Ocean. Lowest coordinate precision: 0","2","Some issues with site precision due to aggregation of zooplankton data."
"RV4","Site Type","Recommended","6 sites. Distinct features: Types: Ocean, sea, territorial waters, Subtypes: Water column, pelagic zone","1","Yes, paper justifies purpose in providing ""further evidence for a Cd-anomaly in decapod crustaceans from Arctic waters."""
"RV5","Sampling Timespan","Required","1991-01-01 to 2000-01-01 (n=3, 3287 days)","2","P. borealis was sampled over 3 years in a 9-year period."
"RV6","Sampling Frequency","Required","1991-01-01 to 2000-01-01 (n=3, 3287 days)","2","P. borealis was sampled over 3 years in a 9-year period."
"RV7","Temporal Conditions","Recommended","Relevant data not collected by app. Please complete manually.","2","No specific conditions were reported, although this is considered less relevant for marine zooplankton studies."
"RV8","Analyte","Required","1 protocol:
Fractionation Protocol - Acid extractable: (Freeze-dried samples homogenised using boron carbide mortar and pestle or agate ball mill. ~10 mg dried material digested for 3 h at 80°C with 100 µl HNO3 (65%, suprapure, Merck) in tightly closed 2-ml Eppendorf tubes. Digests made up to 2 ml with double distilled water.)","1",""
"RV9","Sensitivity/LOD/LOQ","Required","1 protocol:
Analytical Protocol - Atomic absorption spectroscopy: (Cu determined using Varian SpectrAA 880 Zeeman instrument with GTA 110 graphite tube atomiser. Ashing temperature 800°C, atomisation temperature 2300°C for Cu. Quality assurance following German GLP regulations with certified reference materials.)","1","GFAAS is probably appropriate for copper quantification in zooplankton. "
"RV10","Summary Statistics Type","Recommended","Uncertainty types: Standard Deviation","2",""
"RV11","Supporting Parameters","Recommended","1 protocol:
Fractionation Protocol - Acid extractable: (Freeze-dried samples homogenised using boron carbide mortar and pestle or agate ball mill. ~10 mg dried material digested for 3 h at 80°C with 100 µl HNO3 (65%, suprapure, Merck) in tightly closed 2-ml Eppendorf tubes. Digests made up to 2 ml with double distilled water.)","1","Total fraction appropriate for biota."
