aep_id,node_id,x,y,evidence_score,evidence_justification,quantification_score,quantification_justification,notes
A003,N001-natural-occurrence,,,,,,,External. Same national node; no Sørfjord-specific instance written yet.
A003,N002-aquaculture,,,,,,,External. Not checked against Hardangerfjorden/Sørfjord aquaculture sites; borrowed from the national node as-is.
A003,N003-mine-tailings,,,,,,,"External. The historic Odda zinc/copper smelter and its tailings are this AEP's own instance of this source, but the node's external quantification (Kvassnes & Iversen 2013) is Nussir-specific, not Odda's. Wants a Sørfjord source figure before this AEP is more than a placeholder for it."
A003,N012-coast-benthic-sed,,,,,,,"97 measurements, 2 references (VannmiljøCopper2010-2025, 2005GillanStructureOfSediment) inside the box. Nationally 25,024 from 2 references."
A003,N013-coast-water-column,,,,,,,"323 marine + 45 freshwater measurements, 1 reference (VannmiljøCopper2010-2025). Nationally 4,969. As with A002, freshwater upstream of the fjord may be worth its own node."
A003,N014-mussel-soft-tissue,,,,,,,"121 Mytilus edulis measurements, 1 reference (VannmiljøCopper2010-2025). Nationally 5,498 from 3 references."
A003,N015-g-morhua-liver,,,,,,,"150 Gadus morhua measurements inside the box, 1 reference. Liver vs muscle not separately verified for this count, unlike A002's 156; treat as combined until checked. Nationally liver alone is 2,796 from 1 reference."
A003,N016-g-morhua-muscle,,,,,,,"Same 150 G. morhua measurements as N015 above until the tissue split is checked. Nationally muscle is thin (see aep_nodes.csv notes, evidence_score 1)."
A003,N022-marine-benthic-inverts,,,,,,,"18 Asterias rubens measurements, 1 reference (2003CoteurFieldContaminationOf), matching G040-Bi-Cwb-A-rub-Pyl-Md exactly. Not previously a member of any AEP; A001 doesn't include it either."
A003,N017-crab-total,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N018-crab-muscle,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N019-crab-brown-meat,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N020-marine-crustaceans,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N004-manufacturing,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N005-agriculture-forestry-and-fishing,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N006-mining-and-quarrying,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N007-other-services-and-administration,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N008-wholesale-and-retail-trade,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N009-construction-and-real-estate,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N010-transportation-and-storage,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N011-water-supply-and-waste-management,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N021-marine-zooplankton,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N023-marine-macroalgae,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N024-seabird-egg,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N025-eider-blood,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N026-eider-eggs,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N027-river-water-column,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N028-river-benthic-sed,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
A003,N029-air,,,,,,,"Kitchen-sink node from A001, added 2026-08-27; scope and scores not yet reviewed for this AEP."
